Altium Designer Pick and Place Locations
B:\Applications\hardware\pca10201\trunk\production_files\400926_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       11.08.25
Time:       12:47
Revision:   38732
Variant:    Release
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R44","1M0","TopLayer","RESC0603X03L_C","106.4562","58.5990","0","Resistor, ±1%, 0.05W"
"R43","1M0","TopLayer","RESC0603X03L_C","107.5738","58.5990","180","Resistor, ±1%, 0.05W"
"R82","N.C.","TopLayer","RESC1005X04L_NC","16.5100","47.3180","270","Not mounted"
"Q5","UM6X1NA","TopLayer","SOTFL50P162X60-6N","107.0000","54.7490","180","Dual N-Channel MOSFET, Vds = 30V, Vgs(th) = 1.5V, Id = 0.5A, Rds = 750mOhm, Pd = 150mW, -55°C ~ 150°C"
"Q4","UM6X1NA","TopLayer","SOTFL50P162X60-6N","107.0000","59.9990","180","Dual N-Channel MOSFET, Vds = 30V, Vgs(th) = 1.5V, Id = 0.5A, Rds = 750mOhm, Pd = 150mW, -55°C ~ 150°C"
"R13","1M0","TopLayer","RESC0603X03L_C","65.7250","47.7990","0","Resistor, ±1%, 0.05W"
"P20","Pin List 1x13","TopLayer","LIST_1x13_SMD","34.0360","45.7200","0","Pin List 1x13, 2.54mm (100mil), SMD"
"P18","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","94.0000","24.9990","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"U7_S2","FSA2466UMX","TopLayer","XQFN40P180X260X50-16N","51.4000","18.4990","270","Data / Audio Low-Voltage Dual DPDT Analog Switch"
"TP20","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.5824","30.7594","180","1.5mm circular SMD testpad"
"TP19","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","11.0744","33.2752","180","1.5mm circular SMD testpad"
"R75","1M0","TopLayer","RESC0603X03L_C","14.3250","23.4990","90","Resistor, ±1%, 0.05W"
"C5","4.7µF","TopLayer","CAPC1005X04L","126.2000","32.0990","90","Capacitor, X5R, 10V"
"C6","4.7µF","TopLayer","CAPC1005X04L","122.1000","18.9990","0","Capacitor, X5R, 10V"
"R1","10k","TopLayer","RESC0603X03L_C","116.6000","25.7990","0","Resistor, ±1%, 0.05W"
"FB1","22R@100M/6A","TopLayer","INDC1608X06L","116.2000","23.7990","0","Ferrite Bead, 22 Ohm @ 100MHz, 6000mA, 8 mOhm Max"
"TP4","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","35.5600","19.0490","0","1.5mm circular SMD testpad"
"TP6","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","35.5600","16.5090","0","1.5mm circular SMD testpad"
"TP3","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","33.0200","19.0490","0","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","33.0200","16.5090","0","1.5mm circular SMD testpad"
"LED4","L0603G","TopLayer","LED_0603_G","110.0000","54.7490","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED3","L0603G","TopLayer","LED_0603_G","104.0000","54.7490","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED2","L0603G","TopLayer","LED_0603_G","110.0000","59.9990","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LED1","L0603G","TopLayer","LED_0603_G","104.0000","59.9990","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"TP24","TP","TopLayer","TESTPAD-TH","98.0000","59.9990","0","Testpoint, through hole"
"C52_S2","100nF","TopLayer","CAPC0603X03L_C","53.6250","18.5990","90","Capacitor, X5R, ±10%, 100nF, 16V"
"P5","Pin Hdr 2x3","TopLayer","HDR_2x3-SMD","64.8970","33.0200","270","Pin Header 2x3, 2.54mm (100mil) SMD"
"P2","Socket 1x6","TopLayer","SOCKET_1x6_SMD","57.1500","7.6200","0","Socket 1x6, 2.54mm (100mil), SMD"
"P1","Socket 1x8","TopLayer","SOCKET_1x8_SMD","36.8300","7.6200","0","Socket 1x8, 2.54mm (100mil), SMD"
"P4","Socket 1x10","TopLayer","SOCKET_1x10_SMD","30.2260","55.8800","180","Socket 1x10, 2.54mm (100mil), SMD"
"P3","Socket 1x8","TopLayer","SOCKET_1x8_SMD","54.6100","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"P7","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","36.8300","7.6200","0","Pin List 1x8, 2.54mm (100mil), SMD"
"P9","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","54.6100","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P10","Pin List 1x10","BottomLayer","LIST_1x10_SMD-NC","30.2260","55.8800","180","Pin List 1x10, 2.54mm (100mil), SMD"
"P8","Pin List 1x6","BottomLayer","LIST_1x6_SMD-NC","57.1500","7.6200","0","Pin List 1x6, 2.54mm (100mil), SMD"
"P11","Socket 2x3","BottomLayer","SOCKET_2x3_SMD-2.54mm-NC","64.8970","33.0200","90","Socket 2x3, 2.54mm (100mil), SMD"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","3.8860","59.0296","90","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P28","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm","98.0000","13.7490","0","Pin Header 2x5, 1.27mm (50mil), SMD"
"P13","Pin Header 2x8","TopLayer","HDR_2x8-NC","36.8300","2.5400","0","Pin Header 2x8, 2.54mm (100mil)"
"P14","Pin Header 2x6","TopLayer","HDR_2x6-NC","57.1500","2.5400","0","Pin Header 2x6, 2.54mm (100mil)"
"P15","Pin Header 2x8","TopLayer","HDR_2x8-NC","54.6100","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P16","Pin Header 2x10","TopLayer","HDR_2x10-NC","30.2260","60.9600","180","Pin Header 2x10, 2.54mm (100mil)"
"U8_S9","NX3DV2567","TopLayer","XQFN40P180X260X50-16N","88.1000","18.0490","0","Low-ohmic four-pole double-throw analog switch"
"P22","Pin List 1x4, Angled","TopLayer","LIST_ANG_1x4-SMD-2.54MM","9.5628","44.7780","270","Pin List 1x4, 2.54mm (100mil), Right Angled, SMD"
"Q7","DMC2400UV","TopLayer","SOTFL50P162X60-6N","12.7250","23.4990","0","Dual N & P Ch MOFET, 1.03A/0.7A, 480mOhm, 450mW"
"R17","1M0","TopLayer","RESC0603X03L_C","49.9000","16.2990","270","Resistor, ±1%, 0.05W"
"R42","120R","TopLayer","RESC0603X03L_C","110.6985","53.8673","0","Resistor, ±1%, 0.05W"
"SW5","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","21.1362","3.9990","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW3","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","117.6400","3.9990","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW4","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","128.2900","3.9990","0","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW1","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","117.6400","12.9990","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"SW2","PB SW","TopLayer","L-KLS7-TS6616B-2.5-160-T","128.2900","12.9990","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.4x2.5mm"
"U6","MFFx_M2M_UICC","TopLayer","SON127P600X90_HS-8N","76.0000","14.2490","0","M2M UICC SIM Card"
"P25","Pin Header 2x10, 1.27mm, SWD","TopLayer","HDR_2x10-SMD-1.27mm-K-SWD","78.0000","24.9990","0","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud, Removed Pin 7"
"P26","Socket 1x13","BottomLayer","LIST_1x13_SMD-NC","34.0360","45.7200","0","Socket 1x13, 2.54mm (100mil), SMD"
"SB11","Solderbridge","TopLayer","Solderbridge","84.0000","29.2490","0","Solderbridge"
"SB19","Solderbridge","TopLayer","Solderbridge","67.0000","26.2490","0","Solderbridge"
"SB22","Solderbridge","TopLayer","Solderbridge","58.5000","26.2490","270","Solderbridge"
"C52_S1","100nF","TopLayer","CAPC0603X03L_C","67.0000","44.7490","90","Capacitor, X5R, ±10%, 100nF, 16V"
"C49","N.C.","TopLayer","CAPC0603X03L_C_NC","79.9000","16.4990","270","Not mounted"
"C48","10nF","TopLayer","CAPC0603X03L_C","86.2750","16.4240","180","Capacitor, X7R, ±10%, 10nF, 10V"
"C53_S9","100nF","TopLayer","CAPC0603X03L_C","88.0000","20.2490","180","Capacitor, X5R, ±10%, 100nF, 16V"
"R39","120R","TopLayer","RESC0603X03L_C","104.6985","59.1173","0","Resistor, ±1%, 0.05W"
"R40","120R","TopLayer","RESC0603X03L_C","110.6985","59.1173","0","Resistor, ±1%, 0.05W"
"R41","120R","TopLayer","RESC0603X03L_C","104.6985","53.8673","0","Resistor, ±1%, 0.05W"
"R69","1M0","TopLayer","RESC0603X03L_C","65.1000","28.5490","180","Resistor, ±1%, 0.05W"
"P17","Pin Header 2x8","TopLayer","HDR_2x8-NC","77.4700","60.9600","180","Pin Header 2x8, 2.54mm (100mil)"
"P12","Pin List 1x8","BottomLayer","LIST_1x8_SMD-NC","77.4700","55.8800","180","Pin List 1x8, 2.54mm (100mil), SMD"
"P6","Socket 1x8","TopLayer","SOCKET_1x8_SMD","77.4700","55.8800","180","Socket 1x8, 2.54mm (100mil), SMD"
"Fid1","Fiducial mark","TopLayer","Fiducial","8.3353","62.1030","0","Fiducial Mark"
"SB16","Solderbridge","TopLayer","Solderbridge","9.7500","59.0936","0","Solderbridge"
"SB29","Solderbridge","TopLayer","Solderbridge","13.5250","21.6990","270","Solderbridge"
"TP12","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","32.1291","22.3520","90","1.5mm circular SMD testpad"
"TP13","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.9570","24.7650","90","1.5mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.2830","20.6486","90","1.5mm circular SMD testpad"
"TP15","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.8300","29.5284","90","1.5mm circular SMD testpad"
"P24","Socket 2x6","TopLayer","SOCKET_2x6_SMD-2.54mm","95.2500","46.9900","270","Socket 2x6, 2.54mm (100mil), SMD"
"Fid2","Fiducial mark","TopLayer","Fiducial","135.8900","61.2130","0","Fiducial Mark"
"J8","microSD Card Connector","BottomLayer","Molex_502774-0891","78.6450","10.1640","0","1.10mm Pitch microSD Memory Card Connector, Reverse Mount Surface Mount, Push-Push Type"
"TP1","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","129.5000","32.0990","180","1.0mm circular SMD testpad"
"TP2","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","127.7000","32.0990","180","1.0mm circular SMD testpad"
"TP8","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","45.7200","19.0490","0","1.5mm circular SMD testpad"
"TP7","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","43.1800","19.0490","0","1.5mm circular SMD testpad"
"SB34","Solderbridge","TopLayer","Solderbridge","15.2398","47.3180","270","Solderbridge"
